apkname,actividades,proveedor_contenido,receptor_mensajes,servicios,urls,filtros_intent,api_restringidas,api_sospechosas,permisos_solicitados,permisos_usados,uses-feature
com.andromo.dev6995,8,0,0,0,0,1,4,3,2,2,1
appinventor.ai_warungappdev.DUTI_TRAVEL,1,0,0,0,0,1,30,8,3,3,0
com.android.pentatonixA910604C916EBC9615BB7F4DE6B8AC6F6051E70F,7,0,4,2,0,22,0,0,27,0,0
co.il.webe,6,0,3,2,0,7,1,7,13,10,0
com.burin,31,1,9,21,11,33,0,13,33,10,0
com.Desaintempat.tidur,3,0,0,0,0,1,5,2,2,2,0
com.dorilradio.is,11,0,1,1,1,5,5,8,9,7,0
com.mj.ghongaklyndaxc,2,0,1,1,0,2,5,3,9,1,0
URCGD.TrAF.xeKGFr,27,0,7,12,0,26,0,0,83,0,0
com.almanshurin,1,0,0,0,0,1,0,1,7,1,0
apps.infinite,6,0,0,0,0,1,15,4,2,2,0
com.goyalp.website2apk,1,0,0,0,0,1,0,0,7,0,0
com.broadspectrumfree.kg5jst,2,0,0,0,0,1,8,2,4,2,0
bookingpink.com,2,0,1,1,0,1,13,10,5,3,0
com.andromo.dev186294,4,1,0,1,0,1,4,3,3,2,1
com.activesofthk,8,0,3,2,0,13,1,3,10,3,0
com.rt.srs.mobile.mreloae69311E68E1DDE0CE0A6C74A0F548261FD15B322C,17,0,0,0,0,1,0,1,6,0,7
com.burin,16,1,9,21,11,32,0,13,33,10,0
co.kaver,9,0,0,0,0,1,0,4,3,0,0
app.newspapers,9,0,1,1,0,3,4,6,10,4,0
com.debug_zone,11,0,0,1,0,1,2,5,6,3,0
com.khmer.dictionary.offline,2,0,0,0,0,2,19,6,3,3,0
com.raincloudlivewallpaper4963885,7,0,1,2,0,4,17,7,8,4,1
com.airandclock.bylhzz.zh.bac,4,1,1,1,0,6,1,6,18,4,0
com.greetingcardshop.i.call.hd.full.screen.caller.id,21,0,1,2,0,6,4,8,26,7,1
com.bihcd.fishin2vhj,8,0,1,1,0,2,1,4,9,2,0
com.futurnal.beautywall09611EF06CAE5307DC4EE7C28C386010BBF33C54,1,0,6,9,0,16,0,8,40,4,0
