,apkname,actividades,proveedor_contenido,receptor_mensajes,servicios,urls,filtros_intent,api_restringidas,api_sospechosas,permisos_solicitados,permisos_usados,uses-feature,malware
4643,com.banderillas,8,0,8,1,0,5,1,5,6,5,0,False
4644,com.bgrbyrk,6,0,2,2,0,3,1,8,6,5,0,False
4645,com.kuio.guzz.nghc,29,0,3,2,0,10,3,7,22,5,1,True
4646,com.CraftHandmade.redjola,3,0,0,0,0,1,4,2,2,2,0,False
4647,com.android.mmkmplayer323,4,0,5,4,6,7,2,11,25,9,0,True
4648,appinventor.ai_tolunaseven.MELLY_GOESLOW,3,0,0,0,0,1,34,9,4,4,0,True
4649,an.government.it,10,0,1,1,1,4,8,7,11,6,0,True
4650,appinventor.ai_RodrigoRezende24,3,0,0,0,0,1,22,8,4,4,0,False
4651,com,6,0,0,0,0,1,6,6,5,4,0,False
4652,com.CraftClayIdeas.saydroid,3,0,0,0,0,1,8,2,2,2,0,True
4653,com.appsbar,30,0,0,0,0,1,6,3,10,2,0,False
4654,browsermine.com.browsermine,2,0,1,1,0,1,13,10,5,3,0,True
4655,com.pocketdifdsf.sbmaster,4,0,1,1,0,2,8,6,3,2,0,True
4656,com.appstrand,2,1,3,4,0,6,5,4,8,3,0,False
4657,com.alensw.qsquickPicFolder97D62027BFC3A39F5AB8E8078629691D19FFAD26,15,2,0,2,0,12,0,1,11,0,0,True
4658,alien.invasion,1,0,0,0,0,1,19,3,1,1,0,False
4659,action.wargames.arcade,2,0,1,1,0,3,2,3,8,3,0,True
4660,com.glgjing.alch,5,0,1,1,0,3,17,8,8,5,0,True
4661,com.enigmaproapps.newshivepakistan,11,1,5,4,0,6,7,5,9,5,0,True
4662,com.aadhk.lite,14,0,0,1,0,2,8,7,4,1,0,False
4663,appinventor.ai_bubblesproduction1.DrosA3,2,0,0,0,0,1,28,8,4,4,0,True
4664,com.qmtiku.categoryId_70,26,1,3,4,0,7,0,6,18,3,0,True
4665,com.chatmaster.net,4,0,0,1,0,2,5,7,14,5,0,True
4666,appinventor.ai_mossoba_youssef.FlingFlung,1,0,0,0,0,1,30,8,4,3,0,True
4667,com.fullalbumnellakharisma.bangyos,3,0,0,0,0,1,8,2,2,2,0,True
4668,com.fpnq.cleaner,8,0,10,8,1,19,0,8,85,15,0,True
4669,co.mydressing,12,0,0,0,0,1,8,7,4,2,0,False
4670,akai.floatView.op,4,0,3,3,1,3,2,7,8,5,0,False
4671,appinventor.ai_labelleprojectcad.FinancialFreedomV1,8,0,0,0,1,1,30,7,5,3,0,False
4672,com.android.cug.compass,4,0,0,2,0,1,0,6,11,3,0,True
4673,bolivia,8,0,0,0,0,1,8,3,2,2,0,False
4674,com.BeautifulWedgesShoes.myapp,3,0,0,0,0,1,4,2,2,2,0,True
4675,com.BreakfastBreadRecipes.FirdausStudio,3,0,0,0,0,1,9,3,2,2,0,True
